"CODE_IRIS";"logs";"logt"
"1";"130010101";3.52148856837622;1555.85791213366
"2";"130010102";52.9180386210676;2086.95857953673
"3";"130010103";6.45464164589764;1549.38738294198
"4";"130010104";38.5267798642896;2059.33603900371
"5";"130010105";0;1974.19965565707
"6";"130010202";47.7048780086346;1497.39478035304
"7";"130010203";5.53041203718292;1408.64298472474
"8";"130010204";0;1332.35746346887
"9";"130010205";366.531405853749;1596.31647832963
"10";"130010206";44.0001870105338;2500.59938160202
"11";"130010301";215.416620189037;1915.34255434646
"12";"130010302";62.4399748833396;1115.22904102679
"13";"130010303";0;841.804556157853
"14";"130010304";240.123745774274;1470.04485587461
"15";"130010305";88.7062823110979;1121.39436923157
"16";"130010306";181.587895041811;935.722435436476
"17";"130010307";3.27667574976964;1233.09618277371
"18";"130010401";10.8627422655086;1699.79212355379
"19";"130010402";36.1868059407475;1404.43129470551
"20";"130010403";193.279086650217;905.019461895633
"21";"130010404";0;817.656046398197
"22";"130010501";640.670180870144;735.439707159035
"23";"130010502";109.507608133842;1014.25721393835
"24";"130010503";16.7667965075775;1041.7958527086
"25";"130010504";625.834220690907;1544.03914560989
"26";"130010505";0;1002.68504121673
"27";"130010506";116.580673822006;1014.83140889254
"28";"130010601";455.31904228266;780.822090545691
"29";"130010602";782.178693655812;794.873446575572
"30";"130010603";478.462650963333;1217.649161604
"31";"130010604";528.705859281789;863.328441507586
"32";"130010605";4.79404927559907;925.823642684394
"33";"130010606";731.795184270215;1147.04628492332
"34";"130010701";677.628245809647;1047.80105493221
"35";"130010702";443.986779208452;1413.88051211107
"36";"130010703";608.368010241926;902.697599721185
"37";"130010704";593.257576833891;681.520958207467
"38";"130010705";901.096074939049;1001.97481754417
"39";"130010706";582.09710593316;656.726915924054
"40";"130010707";4.69331804275327;1127.55482850226
"41";"130010709";260.117681029878;1265.75248713529
"42";"130010710";0;866.642164928523
"43";"130010711";19.2485486608156;1226.68014930078
"44";"130010801";0;1232.30969911185
"45";"130010802";0;1088.9296462248
"46";"130010803";99.2459829255451;1839.76610648647
"47";"130010804";7.1435534535281;1264.21162440116
"48";"130010901";183.443349919829;2142.46730609588
"49";"130010902";29.673255141826;1221.61786648625
"50";"130010903";226.906226805988;1792.34482993604
"51";"130010905";87.9164254641737;1295.94739425917
"52";"130010906";1.18772302007549;591.135151289427
"53";"130010907";217.38007787494;1659.79491142977
"54";"130010908";327.961391274873;1253.7863607845
