"CODE_IRIS";"logs";"logt"
"1";"060880101";6.83505807941386;919.844659289704
"2";"060880102";8.93322496344339;976.388870273763
"3";"060880103";76.6512215594599;1137.90518353126
"4";"060880201";166.578054573927;1269.6473526614
"5";"060880202";141.930327302762;1150.31630180161
"6";"060880203";16.593617762482;1493.15187919888
"7";"060880204";0.98264642281563;1250.11168300375
"8";"060880205";3.23274216199019;1264.15652193151
"9";"060880206";54.038132733459;1592.38735785675
"10";"060880301";67.3045375226982;1192.70647193257
"11";"060880302";12.5964675941549;1223.3854372069
"12";"060880303";0;971.716418379935
"13";"060880304";30.284903134901;1990.4103291428
"14";"060880305";167.202715258823;1981.43177231439
"15";"060880401";6.3333513867999;1010.04062193853
"16";"060880402";173.879020609958;836.395879781696
"17";"060880403";51.6507359037169;1329.35744111027
"18";"060880404";38.4713974303322;777.426271807245
"19";"060880501";351.514806129371;2071.81558480932
"20";"060880502";325.800573980948;1826.76725034327
"21";"060880503";41.1187261596569;1257.12883902691
"22";"060880504";651.864563080712;1454.42987035948
"23";"060880505";228.987318152969;1238.72533834788
"24";"060880506";564.284186133238;1235.62672055944
"25";"060880507";603.718827616168;1255.6086126864
"26";"060880508";548.922426096732;1026.81456157848
"27";"060880509";580.11440420286;587.574077690622
"28";"060880601";262.058726658117;998.75807374471
"29";"060880602";77.7328117089483;642.583453968523
"30";"060880603";179.992889061414;1448.44412391604
"31";"060880604";126.07666135333;1198.82826779637
"32";"060880605";219.192266647309;507.790289721972
"33";"060880701";592.594947388264;1043.28598057486
"34";"060880702";875.713198905254;1302.26166062507
"35";"060880801";169.842785302319;589.652376923317
"36";"060880901";808.71538607301;856.290400183744
"37";"060880902";293.706427533956;703.258508926186
"38";"060880903";377.931429231545;471.672783149798
"39";"060880904";297.660494537063;395.762977035484
"40";"060880905";480.746414550734;666.642316359602
"41";"060881001";0;996.336429057121
"42";"060881002";16.3794727486953;1031.52509381237
"43";"060881003";0;705.715397094949
"44";"060881004";0;1289.91523102322
"45";"060881005";0;1528.56823843097
"46";"060881101";86.8820542385195;1576.87753532593
"47";"060881102";23.6463077244485;1652.71034449353
"48";"060881103";0;1250.60352507989
"49";"060881104";348.283946608084;960.902081975871
"50";"060881105";377.784661660636;991.945300558267
"51";"060881201";106.994488786817;1253.42636395241
"52";"060881202";25.0085156454424;599.99715994666
"53";"060881203";16.8100101832467;991.45501419728
"54";"060881204";651.232148405429;1462.16405888007
"55";"060881301";0;1225.73787986269
"56";"060881302";3.1630181839868;1295.52161880668
"57";"060881303";3.1252978313979;1212.73341847709
"58";"060881304";87.1196039296385;1013.45629480064
"59";"060881305";0;1337.14668778535
"60";"060881306";0;918.483251110433
"61";"060881307";72.4287168005096;1103.24544391309
"62";"060881308";103.031153370151;1031.54271064545
"63";"060881309";3.46099055599936;1296.95096300321
"64";"060881401";0;1226.1871755773
"65";"060881402";0;1138.17470085437
"66";"060881403";8.9750305860393;1237.82131413808
"67";"060881404";150.074193390401;797.905439567889
"68";"060881501";45.2602941718607;944.381857574589
"69";"060881502";61.3570687441776;1140.20020015132
"70";"060881503";4.25341743347788;1073.32283092675
"71";"060881504";33.2734910395859;1014.67829986038
"72";"060881505";23.5808022869958;1162.05012245936
"73";"060881506";3.57884244649139;1098.02824918369
"74";"060881601";1.87172272800598;1030.27952499731
"75";"060881602";70.4296480766496;1023.76843571412
"76";"060881603";216.520105350628;1498.0189362891
"77";"060881604";7.73853189081604;1438.08390312188
"78";"060881605";4.19914803019341;947.918930969865
"79";"060881606";0;1119.8629892002
"80";"060881701";30.9196479129358;886.378717863015
"81";"060881702";0;1041.07821630542
"82";"060881703";21.8296506616725;947.868282339128
"83";"060881704";15.9481132958855;1059.41090697447
"84";"060881705";3.6167576336172;1126.05520901926
"85";"060881802";66.7495473546836;1261.40326896588
"86";"060881803";67.5644935940904;999.971179971732
"87";"060881804";52.0242404827812;1258.43345810939
"88";"060881805";12.3573280961856;1117.10711452288
"89";"060881901";198.966847214394;1147.48101043863
"90";"060881902";19.5931461593233;1070.55923938826
"91";"060881903";46.5032571128575;1339.01458110481
"92";"060882001";0;885.376590335735
"93";"060882002";26.7012701137307;1046.81417899138
"94";"060882101";12.0006253074887;1228.27860341692
"95";"060882102";169.448627463615;1345.51416677172
"96";"060882103";263.958461883055;1380.07834441824
"97";"060882104";103.880688679388;909.730921750696
"98";"060882201";11.8165294070199;804.25173281932
"99";"060882202";32.3596292926734;1364.27791784796
"100";"060882203";6.31369640548896;1783.06406287472
"101";"060882301";3.26271887197628;747.633102440625
"102";"060882302";1.0329237139493;1230.95982205705
"103";"060882303";0;1290.85281914132
"104";"060882304";60.1179141444013;1544.6623516182
"105";"060882401";4.26960708700372;1075.78666271247
"106";"060882402";0;1378.94242253238
"107";"060882501";51.7958630590645;1096.2251828235
"108";"060882502";139.047965872885;1412.58756779495
"109";"060882503";13.5126622088256;1062.63046768342
"110";"060882504";64.0125821116394;1670.98016462419
"111";"060882601";0;985.271343972191
"112";"060882602";101.293236986424;1186.56971395262
"113";"060882603";2.98846153216904;1178.81959350002
"114";"060882701";11.2911294441198;1111.09269954222
"115";"060882702";0;1096.57632741221
"116";"060882703";0;794.476007828429
"117";"060882704";0;1674.89608422255
"118";"060882705";3.53896401623463;1170.00649040861
"119";"060882801";6.2202225907506;1546.84246635307
"120";"060882802";170.764501783883;1850.5249286488
"121";"060882803";0;1062.55226819258
"122";"060882804";3.77408498736689;1486.51435950357
"123";"060882805";0;1564.16752746973
"124";"060882901";105.926437063832;693.30085912641
