"CODE_IRIS";"logs";"logt"
"1";"831370101";523.290727285415;1271.35564079226
"2";"831370102";60.1299445798366;1200.2539217561
"3";"831370103";112.623027145083;1533.505988379
"4";"831370104";30.0592360432782;1926.27235581534
"5";"831370201";400.646510552475;1008.63676104266
"6";"831370202";20.6345373513342;1031.39778578712
"7";"831370203";501.569870986169;1093.6711142655
"8";"831370204";1305.36088327508;1312.48018137311
"9";"831370205";451.925130458295;1135.23023980555
"10";"831370206";465.939995967756;1205.40408876936
"11";"831370207";140.101828162348;1226.12208433661
"12";"831370208";6.43341316424474;1122.43489995304
"13";"831370209";117.921603999228;1184.01753712337
"14";"831370301";415.394143456486;829.64492252318
"15";"831370302";113.905961426545;937.182656950596
"16";"831370303";276.510201925735;748.595952345477
"17";"831370304";0;877.203161874612
"18";"831370305";24.7031697285213;990.561088640367
"19";"831370306";128.200363272378;1255.81531766092
"20";"831370307";190.911148091092;907.262656120396
"21";"831370308";135.754076759288;985.492480410939
"22";"831370309";324.689599998552;1184.0896942469
"23";"831370310";223.988289489235;1277.99800001199
"24";"831370311";8.2465691775327;864.560545653847
"25";"831370312";20.8869465310425;980.813655024073
"26";"831370401";0;886.992759954519
"27";"831370402";0;1212.37281114577
"28";"831370403";0;1234.74658460248
"29";"831370404";32.0820160407017;853.692597058
"30";"831370405";0;1002.84833326899
"31";"831370501";95.4544912296224;1273.36620593031
"32";"831370502";105.135169898712;726.444738133651
"33";"831370503";159.921084694522;644.605551907265
"34";"831370504";0;1269.25613996141
"35";"831370505";0;1136.29818270448
"36";"831370506";50.4174647705087;1436.97564661172
"37";"831370601";328.639494930684;1306.14908183591
"38";"831370602";0;1273.82252019434
"39";"831370603";0;1301.00761485961
"40";"831370604";25.7253011517287;1030.50176772956
"41";"831370605";0;929.24467411125
"42";"831370606";227.191657138597;1207.36310438404
"43";"831370607";72.3449489645291;1240.90421949451
"44";"831370608";53.7543843417891;1193.30488012198
"45";"831370609";156.703350081279;1382.99382472983
"46";"831370610";202.741866019509;1126.20922848649
"47";"831370611";472.450878291239;1305.14414734108
"48";"831370612";76.6616749068145;1162.68151595083
"49";"831370613";312.448908051717;828.513559344279
"50";"831370701";3.16235501797277;1011.73833905556
"51";"831370702";0;1211.51105098505
"52";"831370703";0;1160.49919064143
"53";"831370704";1.92369570665312;1334.11087081578
"54";"831370801";0;1393.08458942187
"55";"831370802";92.2370047244214;1797.81719399429
"56";"831370803";70.3338669333431;1330.48925075514
"57";"831370804";31.9683404397056;1103.74988432603
"58";"831370805";139.378080608903;1148.62854624279
"59";"831370806";3.16790673345107;1174.84045621705
"60";"831370807";0.99999770889077;850.163382274938
"61";"831370808";30.3862494389119;1717.42847188279
"62";"831370809";203.809376763153;1291.84201579877
"63";"831370810";18.8803843791698;1102.29599433978
"64";"831370901";115.699955594624;1173.83135221202
"65";"831370902";217.63235964162;618.856183329535
"66";"831370903";70.6409780490383;1079.71193105263
"67";"831370904";65.4740622445127;1006.76514349592
"68";"831370905";119.070072198776;1186.59101030447
"69";"831370906";6.48035035643769;914.873239432986
"70";"831370907";327.693473371121;635.549166233827
