"CODE_IRIS";"logs";"logt"
"1";"693810101";50.5187370566755;2084.67109982893
"2";"693810102";0;29.1178388962095
"3";"693810201";171.074995326795;1398.83216145967
"4";"693810202";254.437002373895;2156.94678977743
"5";"693810301";368.91508114962;2050.76942421283
"6";"693810302";10.9009059635246;1077.76441787486
"7";"693810303";175.676587750825;1413.25505027034
"8";"693810304";282.343710327088;1380.67487826716
"9";"693810401";205.593194652756;1651.14346522701
"10";"693810402";170.147473702602;1062.66305570794
"11";"693810501";32.0338409168149;1246.62686905845
"12";"693820101";169.00376189932;1642.76198491543
"13";"693820102";164.183108805475;1569.50892126363
"14";"693820103";0;2.8395191432673
"15";"693820201";8.86430876657481;194.551363305061
"16";"693820202";24.1461138952225;1264.79970471174
"17";"693820203";0;2.93824063795666
"18";"693820204";4.96145789179194;1211.20401948028
"19";"693820301";29.7020137818754;1413.85743981242
"20";"693820302";28.4813521713979;1182.3612340639
"21";"693820401";62.1085006588276;1145.11629616474
"22";"693820402";109.691137850661;1905.78682455064
"23";"693820501";0;111.1679839266
"24";"693820502";234.64391319274;2003.12818173732
"25";"693820503";126.987008437873;702.657532293036
"26";"693820504";933.77781399441;2206.68821820609
"27";"693830101";0;8.33158629136353
"28";"693830102";99.272122631831;920.566247213265
"29";"693830103";60.6704739705409;975.335037392069
"30";"693830104";46.4008760831858;1457.58857217019
"31";"693830105";82.7135963998689;1749.07230256142
"32";"693830201";336.809237839351;1515.15142413517
"33";"693830202";262.14345456476;1647.23122049719
"34";"693830203";131.901060066077;1589.9210549194
"35";"693830204";197.099818983039;1981.64474348526
"36";"693830205";190.155205763289;1408.34985853017
"37";"693830301";312.427656856107;1523.90237164649
"38";"693830302";422.221434685778;4959.78458608581
"39";"693830401";226.481582941633;1470.89647575215
"40";"693830402";488.233660263632;1550.31553385191
"41";"693830403";67.9358261804512;515.12645118006
"42";"693830404";225.566967299855;1568.93512497321
"43";"693830405";295.25098770117;1739.36325313992
"44";"693830501";160.955549040169;1794.05889895355
"45";"693830502";104.084306486088;1981.60134188054
"46";"693830601";410.068604339127;1914.75200873995
"47";"693830602";649.540332718819;2038.16721300209
"48";"693830603";65.8631684174718;2044.98950157346
"49";"693830604";198.450655537026;1481.01185280475
"50";"693830701";172.795979454836;1678.1900910697
"51";"693830702";364.966714474603;1624.48682398745
"52";"693830703";37.7802533143973;1868.3053736168
"53";"693830801";198.54210826583;1527.42648545027
"54";"693830802";118.020499500635;1771.73822397909
"55";"693830804";135.525987009107;859.139201603809
"56";"693830901";334.077180748951;2125.38777331465
"57";"693830902";110.188188399161;980.719447776983
"58";"693840101";0;1014.33627067262
"59";"693840102";230.081636846654;1559.15750233267
"60";"693840103";157.69984746914;1540.35770962906
"61";"693840201";0;183.320717253655
"62";"693840202";112.940706269392;1339.1848900111
"63";"693840203";20.3670208662295;1199.03093754246
"64";"693840204";114.236653410948;1614.99623620218
"65";"693840301";520.2192137578;1463.74490258724
"66";"693840302";237.627313291887;1167.22572120373
"67";"693840303";149.951975536884;1427.37460995165
"68";"693840401";51.3755288560168;701.700755162373
"69";"693840402";570.192111078105;999.909738767245
"70";"693840403";21.4378980162571;1165.68829806912
"71";"693840501";206.607588525447;1305.83514437543
"72";"693840502";117.593548208617;1407.90613046803
"73";"693850101";50.915398743747;1261.13364200799
"74";"693850102";65.3047445998098;1253.54529898064
"75";"693850103";81.5676839915209;1238.34586468626
"76";"693850104";253.701670659424;1171.70082885602
"77";"693850201";53.4054522866804;341.00898290371
"78";"693850202";205.106042335942;600.060461987711
"79";"693850203";395.413741465843;1494.44661832713
"80";"693850204";38.2244844989443;842.406858336054
"81";"693850301";762.107635745221;1146.42765783535
"82";"693850302";312.496959477491;1332.17864505549
"83";"693850401";0;88.9753523795951
"84";"693850402";35.6126341868112;692.196743009934
"85";"693850403";12.2856921484277;1432.89245672764
"86";"693850404";31.2759611988677;972.844822232811
"87";"693850501";87.6472370400395;1195.56649465673
"88";"693850502";301.465837625006;1511.19940031826
"89";"693850503";160.904040871467;878.52008994392
"90";"693850504";219.519254278769;1189.13731167606
"91";"693850601";60.3287858054823;1508.89897344282
"92";"693850602";45.7588209397407;1078.03529929628
"93";"693850603";4.79260846786732;934.382137768723
"94";"693860101";11.0640842136352;245.884484718252
"95";"693860103";2.58459973844819;993.333613699991
"96";"693860104";37.281643843893;1455.42241578779
"97";"693860201";5.06346958253085;1132.41099795273
"98";"693860202";7.14978796005987;1672.06232918838
"99";"693860301";89.3757716837394;1424.86177588493
"100";"693860302";83.2970602477329;1495.05952402641
"101";"693860303";132.728234147907;1640.21977711491
"102";"693860304";58.8428305344413;1557.58553399111
"103";"693860401";12.9038865758437;1289.74463262754
"104";"693860402";0;1040.99334690304
"105";"693860403";11.4552570252146;994.650229053593
"106";"693860501";199.198822673689;1239.51842786154
"107";"693860502";150.610129816879;1142.05565306642
"108";"693860503";228.756585202816;1698.61166196043
"109";"693860601";109.443917494458;940.772558964171
"110";"693860602";30.1305018134341;1504.54584386608
"111";"693860603";121.858167726069;1198.63631500696
"112";"693860701";137.695344831574;1364.12243414662
"113";"693860702";235.141664640251;2125.32333261778
"114";"693870101";156.127969718214;1447.22125063517
"115";"693870102";22.5525878158849;1554.44038032138
"116";"693870103";171.038126837118;1622.22312075541
"117";"693870201";275.80764044246;2655.88056230849
"118";"693870202";133.330937507049;1793.58707048592
"119";"693870203";5.25191245443648;1381.84357771708
"120";"693870301";48.234963797764;1927.49509553592
"121";"693870302";61.2000565904374;1341.33833300359
"122";"693870401";107.724164267925;2024.24904304524
